Week,Year,no1,no2,no3,no4,no5,extra1,extra2
24,2023,5,19,33,36,42,7,12
23,2023,8,13,24,35,46,6,8
22,2023,8,9,11,13,50,6,11
21,2023,1,3,29,45,47,5,8
20,2023,1,5,8,20,35,3,12
19,2023,10,27,30,32,34,5,8
18,2023,17,18,30,33,35,6,8
17,2023,4,8,9,30,35,6,7
16,2023,5,13,16,41,45,3,6
15,2023,7,11,20,21,29,6,11
14,2023,16,28,32,36,48,5,10
13,2023,10,11,31,37,44,5,12
12,2023,6,21,23,26,43,3,9
11,2023,5,18,21,29,45,1,6
10,2023,6,17,22,39,46,5,12
9,2023,1,18,37,46,48,3,7
8,2023,1,5,12,18,20,6,7
7,2023,5,12,15,21,39,3,4
6,2023,3,10,20,36,42,8,10
5,2023,1,7,17,44,50,2,10
4,2023,4,9,29,34,37,3,12
3,2023,1,12,15,31,47,9,10
2,2023,7,14,34,41,49,4,9
1,2023,14,28,31,47,50,7,12
52,2022,3,37,45,47,50,5,10
51,2022,9,34,35,42,44,6,11
50,2022,9,14,15,20,47,8,12
49,2022,6,8,13,21,32,3,6
48,2022,6,12,25,48,49,11,12
47,2022,4,6,8,42,48,6,11
46,2022,13,14,25,28,42,11,12
45,2022,11,15,24,28,41,3,12
44,2022,7,9,40,48,49,7,8
43,2022,4,5,21,30,43,5,11
42,2022,2,11,18,47,49,2,7
41,2022,3,5,8,10,44,7,12
40,2022,16,17,26,30,35,3,9
39,2022,8,12,15,17,46,1,8
38,2022,20,30,38,39,44,2,12
37,2022,16,25,27,41,45,3,9
36,2022,9,18,26,41,43,4,9
35,2022,2,5,11,22,24,7,12
34,2022,2,6,18,29,37,10,12
33,2022,4,13,32,39,41,6,8
32,2022,14,32,34,38,46,2,5
31,2022,10,12,17,31,49,2,8
30,2022,14,26,29,46,50,10,11
29,2022,1,11,17,19,33,3,7
28,2022,9,11,16,19,32,3,5
27,2022,6,10,22,30,36,8,10
26,2022,4,10,24,34,35,7,8
25,2022,13,24,30,35,48,4,5
24,2022,1,2,23,43,45,1,9
23,2022,3,21,23,28,46,10,12
22,2022,4,22,27,39,41,1,9
21,2022,8,26,29,41,48,3,5
20,2022,4,22,28,32,47,1,2
19,2022,7,13,30,43,47,7,11
18,2022,5,6,39,49,50,10,12
17,2022,5,6,17,18,34,1,11
16,2022,2,18,28,42,50,2,11
15,2022,2,5,10,20,24,4,7
14,2022,2,26,41,45,48,5,12
13,2022,7,8,35,37,49,5,8
12,2022,11,20,31,35,46,6,10
11,2022,1,8,33,38,43,2,6
10,2022,5,31,39,46,49,8,9
9,2022,1,17,20,36,49,6,9
8,2022,4,19,34,41,43,1,5
7,2022,5,10,25,29,32,4,7
6,2022,5,10,26,37,42,3,10
5,2022,12,18,27,33,41,9,10
4,2022,5,21,23,29,35,7,9
3,2022,2,5,9,29,32,2,4
2,2022,9,15,27,41,44,2,4
1,2022,8,17,21,23,47,2,6
52,2021,7,16,36,42,43,6,8
51,2021,3,17,21,35,42,8,9
50,2021,6,8,16,44,50,1,10
49,2021,8,9,30,34,48,5,8
48,2021,2,5,13,15,23,6,8
47,2021,7,17,21,37,39,3,5
46,2021,6,12,20,21,34,4,5
45,2021,4,30,43,44,46,1,3
44,2021,6,13,25,31,49,2,7
43,2021,11,23,37,38,44,4,8
42,2021,15,33,34,38,43,3,7
41,2021,2,6,8,21,25,6,9
40,2021,20,28,32,38,46,6,8
39,2021,20,33,34,37,39,4,8
38,2021,12,22,35,38,49,5,10
37,2021,14,17,20,27,32,3,7
36,2021,2,14,18,23,42,5,10
35,2021,5,9,20,44,48,4,10
34,2021,19,20,22,25,42,4,6
33,2021,8,31,34,36,45,8,10
32,2021,4,31,39,43,46,1,4
31,2021,16,19,21,29,36,1,7
30,2021,5,14,39,43,44,1,6
29,2021,13,33,42,48,50,3,9
28,2021,9,14,24,37,39,4,9
27,2021,8,14,15,20,31,8,9
26,2021,4,5,10,25,31,4,6
25,2021,4,17,22,30,47,1,8
24,2021,11,14,44,46,49,7,10
23,2021,8,20,23,48,50,8,9
22,2021,13,17,26,49,50,1,7
21,2021,15,26,35,37,43,3,8
20,2021,2,12,15,33,39,4,9
19,2021,1,15,29,42,50,3,6
18,2021,3,7,19,27,29,7,10
17,2021,23,27,34,40,43,5,7
16,2021,3,6,11,14,49,1,5
15,2021,12,19,20,28,31,6,9
14,2021,11,18,23,29,32,3,7
13,2021,1,3,4,36,43,2,3
12,2021,7,38,41,44,50,1,8
11,2021,3,11,19,34,37,8,9
10,2021,6,11,18,26,34,5,8
9,2021,9,23,34,40,42,1,4
8,2021,3,13,24,29,32,1,7
7,2021,27,35,36,38,41,5,7
6,2021,15,18,24,27,44,2,7
5,2021,2,3,16,33,46,2,10
4,2021,16,30,33,36,43,4,8
3,2021,38,40,41,46,48,2,6
2,2021,10,19,32,36,46,4,6
1,2021,8,22,25,38,50,8,9
52,2020,7,10,19,26,42,1,9
51,2020,4,17,27,28,50,5,8
50,2020,4,13,15,41,49,1,9
49,2020,1,27,37,40,41,7,10
48,2020,1,2,22,25,30,5,10
47,2020,18,20,34,49,50,7,8
46,2020,5,17,21,37,38,1,4
45,2020,5,12,26,47,50,2,3
44,2020,11,19,24,33,39,1,4
43,2020,17,21,23,37,45,7,9
42,2020,5,11,35,44,50,4,10
41,2020,1,11,17,23,29,1,8
40,2020,15,19,34,39,49,2,7
39,2020,1,7,9,29,46,9,10
38,2020,7,12,14,40,42,7,8
37,2020,2,5,24,43,45,4,10
36,2020,5,23,28,38,49,3,9
35,2020,8,11,22,38,41,4,7
34,2020,26,27,30,46,49,1,2
33,2020,9,20,27,35,48,5,9
32,2020,4,9,15,24,28,2,6
31,2020,3,19,28,43,49,2,3
30,2020,7,11,19,32,43,2,8
29,2020,13,21,25,34,35,5,10
28,2020,5,6,9,15,29,4,9
27,2020,12,34,36,47,48,5,7
26,2020,14,16,32,34,47,7,9
25,2020,2,22,33,38,47,2,9
24,2020,7,16,22,30,48,2,8
23,2020,9,16,17,29,39,1,8
22,2020,8,22,31,32,36,6,10
21,2020,12,15,32,40,45,7,10
20,2020,21,27,29,34,49,8,10
19,2020,9,11,15,36,43,8,9
18,2020,6,11,12,21,41,1,2
17,2020,6,13,15,34,35,1,5
16,2020,1,18,23,33,41,2,6
15,2020,2,7,8,43,50,2,3
14,2020,3,21,26,40,41,8,10
13,2020,13,19,23,34,41,3,8
12,2020,9,14,28,30,37,3,10
11,2020,1,17,29,39,42,7,8
10,2020,15,19,35,36,41,5,10
9,2020,12,22,24,29,38,5,6
8,2020,2,13,39,45,47,4,6
7,2020,2,6,30,32,49,1,4
6,2020,7,16,22,36,44,3,4
5,2020,1,7,12,23,39,3,4
4,2020,5,12,20,29,48,7,9
3,2020,1,23,32,45,49,5,10
2,2020,4,14,25,34,49,4,9
1,2020,6,27,30,35,41,4,5
52,2019,7,12,28,34,45,3,6
51,2019,12,20,21,22,35,4,10
50,2019,25,31,38,49,50,5,10
49,2019,8,14,23,30,45,1,9
48,2019,2,3,30,31,45,6,8
47,2019,3,12,24,37,38,3,7
46,2019,10,19,24,30,39,2,4
45,2019,14,20,23,39,49,4,10
44,2019,3,17,31,34,40,1,2
43,2019,2,30,34,35,45,1,2
42,2019,6,9,31,43,44,6,9
41,2019,8,12,13,39,44,4,9
40,2019,15,19,20,45,49,7,8
39,2019,21,24,26,34,47,4,6
38,2019,17,21,41,48,49,4,8
37,2019,3,21,22,33,47,2,9
36,2019,21,24,29,30,50,1,5
35,2019,10,18,32,35,46,3,10
34,2019,15,18,19,41,42,4,6
33,2019,7,20,35,42,44,3,7
32,2019,2,4,20,21,49,9,10
31,2019,6,11,38,41,44,9,10
30,2019,3,8,30,46,48,1,3
29,2019,31,32,45,47,49,7,9
28,2019,31,36,40,42,45,7,9
27,2019,1,15,34,48,50,6,10
26,2019,18,25,26,35,38,5,6
25,2019,20,27,37,41,45,1,7
24,2019,8,23,40,41,42,2,10
23,2019,7,8,20,35,38,5,9
22,2019,10,12,35,36,43,2,5
21,2019,8,26,38,47,50,3,7
20,2019,20,27,33,35,46,5,9
19,2019,5,7,15,19,29,3,8
18,2019,3,9,10,19,42,1,7
17,2019,1,6,11,17,38,4,8
16,2019,18,21,37,43,47,1,3
15,2019,14,16,21,30,37,4,8
14,2019,22,31,43,44,50,1,9
13,2019,4,9,15,24,42,8,9
12,2019,15,20,24,44,49,7,9
11,2019,1,2,11,19,47,2,7
10,2019,4,29,30,31,45,1,7
9,2019,7,16,18,19,24,1,6
8,2019,14,16,21,25,26,8,10
7,2019,1,24,30,31,47,7,9
6,2019,5,8,21,24,26,4,5
5,2019,6,29,38,45,47,2,3
4,2019,24,25,28,35,48,4,8
3,2019,2,9,23,36,47,2,9
2,2019,6,12,35,39,49,4,9
1,2019,3,10,25,32,43,1,3
52,2018,19,24,31,38,40,7,10
51,2018,3,16,20,34,49,2,10
50,2018,4,14,24,26,30,9,10
49,2018,4,16,21,31,42,4,6
48,2018,18,22,35,36,41,3,4
47,2018,17,22,28,31,46,5,10
46,2018,13,15,18,39,45,5,6
45,2018,8,32,34,46,49,3,5
44,2018,5,17,27,33,42,9,10
43,2018,18,19,33,38,44,4,10
42,2018,9,12,28,32,48,7,8
41,2018,6,26,31,42,50,2,9
40,2018,12,15,32,44,49,5,7
39,2018,3,8,13,18,40,6,10
38,2018,5,8,16,42,46,2,10
37,2018,24,33,35,46,49,5,9
36,2018,4,7,28,36,43,1,6
35,2018,3,6,9,18,24,2,7
34,2018,8,25,26,38,48,6,9
33,2018,2,12,32,43,44,3,4
32,2018,4,15,17,21,23,6,7
31,2018,4,8,12,25,31,7,8
30,2018,2,22,40,43,50,3,8
29,2018,13,33,40,42,43,7,9
28,2018,13,14,21,34,46,2,5
27,2018,2,7,24,38,45,5,8
26,2018,9,18,30,47,48,4,6
25,2018,16,24,33,35,43,6,7
24,2018,1,5,7,9,21,3,10
23,2018,5,13,22,36,39,9,10
22,2018,14,19,21,30,32,4,7
21,2018,15,31,35,40,46,3,8
20,2018,1,11,23,41,44,2,8
19,2018,3,14,17,37,39,5,10
18,2018,24,26,29,36,49,3,6
17,2018,9,21,31,32,33,9,10
16,2018,22,24,25,28,46,2,4
15,2018,3,10,21,25,34,7,10
14,2018,6,8,16,23,50,4,8
13,2018,5,15,17,29,32,5,7
12,2018,4,14,22,33,42,1,10
11,2018,4,27,37,48,49,3,4
10,2018,15,23,28,33,36,4,7
9,2018,16,18,20,27,46,3,5
8,2018,18,26,33,42,46,4,10
7,2018,4,8,19,25,44,9,10
6,2018,7,8,24,34,46,4,8
5,2018,15,24,29,33,41,7,8
4,2018,10,23,26,29,35,3,5
3,2018,3,9,17,45,47,4,9
2,2018,16,17,25,40,44,2,9
1,2018,2,7,38,40,45,7,10
52,2017,16,30,33,40,43,2,4
51,2017,16,26,32,40,47,1,6
50,2017,1,7,12,16,18,1,4
49,2017,9,15,20,24,34,1,5
48,2017,5,16,20,29,30,2,7
47,2017,11,16,18,22,43,7,8
46,2017,3,4,17,41,47,2,5
45,2017,1,14,17,24,50,8,9
44,2017,2,35,44,45,50,6,7
43,2017,2,20,23,29,50,4,5
42,2017,1,10,25,46,49,1,6
41,2017,9,40,43,44,46,1,8
40,2017,5,17,28,40,44,1,8
39,2017,2,12,15,29,44,7,10
38,2017,10,17,32,36,47,2,5
37,2017,15,22,29,33,47,3,7
36,2017,11,38,40,42,48,4,5
35,2017,3,4,9,19,28,1,7
34,2017,11,20,28,41,45,5,9
33,2017,1,4,20,32,34,3,6
32,2017,13,14,21,23,40,1,3
31,2017,18,39,44,46,47,4,6
30,2017,14,18,26,40,45,1,5
29,2017,27,35,36,38,48,2,3
28,2017,3,9,25,31,49,8,9
27,2017,15,16,17,23,30,6,9
26,2017,1,3,11,18,31,3,6
25,2017,6,14,19,27,35,2,4
24,2017,1,24,25,31,38,1,7
23,2017,13,17,20,24,47,5,8
22,2017,2,4,17,20,46,1,8
21,2017,3,11,13,15,23,1,9
20,2017,22,33,41,46,50,2,6
19,2017,7,14,31,35,46,1,2
18,2017,8,11,23,41,42,6,8
17,2017,3,38,39,41,45,3,5
16,2017,27,31,44,46,49,6,8
15,2017,6,22,33,46,49,1,5
14,2017,10,27,43,45,46,4,8
13,2017,8,14,34,40,44,1,7
12,2017,25,26,30,36,44,3,9
11,2017,3,16,25,38,45,7,8
10,2017,13,18,20,35,46,7,8
9,2017,3,7,16,18,25,2,10
8,2017,1,7,13,19,20,6,8
7,2017,7,18,19,40,49,5,6
6,2017,13,23,31,42,44,2,5
5,2017,4,5,17,39,47,3,4
4,2017,12,15,19,29,48,7,9
3,2017,5,23,25,35,40,5,8
2,2017,2,21,26,44,45,1,6
1,2017,7,14,23,27,35,3,5
